name,age_years,category,card_note
Formation of the Earth,4600000000,geo,
Oldest Known Rock,4300000000,geo,
First Single-Celled Organism,4000000000,life,
Age of Most Continental Crust,3700000000,geo,
First Viruses Appear,3500000000,life,
Blue-Green Algae,3000000000,life,First oxygen producers
First Fungi Appear,1000000000,life,
First Multi-Celled Organism,700000000,life,
Precambrian Extinction,650000000,ext,70% of all life wiped out
First Shellfish Appear,570000000,water,
First Fish Appear,510000000,water,
First True Plants Appear,498000000,life,
First Sharks Appear,390000000,water,
First Amphibians Appear,375000000,life,
First Reptile Appears,325000000,life,
Permian-Triassic Extinction,250000000,ext,99% of all life wiped out
Mesozoic Era Begins,245000000,era,Age of the Dinosaurs
First Mammal Appears,200000000,life,
Age of Most Oceanic Crust,180000000,water,
First Known Bird Appears,160000000,life,
Rocky Mountains Formed,80000000,geo,
Extinction of the Dinosaurs,65000000,ext,
First Proto-Humans Appear,3500000,human,Only ~1 inch from end on the physical hallway
Earliest Modern Humans,2000000,human,
Last Ice Age,20000,water,
Recorded Human History Begins,10000,human,0.003 inches from end on the physical hallway
